X;Y
182.49;81.72
181.18;80.27
180.02;79.00
178.64;77.61
177.42;76.39
175.97;75.08
174.69;73.92
173.18;72.67
171.85;71.58
170.27;70.41
168.88;69.38
167.25;68.29
165.80;67.32
164.13;66.31
162.63;65.42
160.90;64.49
159.36;63.67
157.59;62.83
156.01;62.08
154.20;61.33
152.57;60.66
150.73;60.00
149.07;59.41
147.20;58.84
145.51;58.32
143.61;57.85
141.89;57.42
139.97;57.04
138.23;56.69
136.29;56.40
134.53;56.14
132.58;55.95
130.81;55.78
128.85;55.68
127.06;55.59
125.10;55.59
123.31;55.59
121.36;55.69
119.56;55.78
117.61;55.97
115.82;56.15
113.88;56.43
112.09;56.70
110.17;57.08
108.39;57.43
106.50;57.91
104.74;58.35
102.86;58.92
101.12;59.45
99.28;60.11
97.56;60.72
95.75;61.48
94.06;62.18
92.29;63.01
90.63;63.80
88.90;64.72
87.28;65.59
85.60;66.60
84.02;67.55
82.40;68.63
80.86;69.66
79.29;70.83
77.80;71.93
76.29;73.18
74.85;74.35
73.40;75.67
72.02;76.92
70.64;78.31
69.32;79.62
68.01;81.08
66.75;82.46
65.51;83.98
64.32;85.43
63.16;87.00
62.04;88.51
60.95;90.14
59.91;91.71
58.90;93.39
57.93;95.01
57.01;96.74
56.12;98.40
55.28;100.18
54.47;101.89
53.73;103.70
53.00;105.46
52.34;107.30
51.70;109.10
51.13;110.97
50.58;112.80
50.11;114.70
49.64;116.56
49.26;118.48
48.89;120.36
48.60;122.30
48.32;124.20
48.13;126.15
47.95;128.07
47.85;130.03
47.76;131.96
47.76;133.92
47.76;135.85
47.86;137.81
47.96;139.75
48.15;141.70
48.34;143.63
48.63;145.57
48.92;147.50
49.31;149.42
49.69;151.34
50.17;153.24
50.65;155.14
50.65;155.14
51.22;157.01
51.79;158.88
51.79;158.89
52.45;160.74
53.11;162.58
53.12;162.59
53.87;164.40
54.62;166.20
54.63;166.22
55.47;167.99
56.30;169.76
56.31;169.77
57.24;171.50
58.16;173.23
58.17;173.25
59.18;174.93
60.19;176.60
60.21;176.63
61.30;178.26
62.39;179.88
62.41;179.91
63.58;181.48
64.74;183.05
64.77;183.08
66.01;184.59
67.26;186.11
67.28;186.14
68.60;187.59
69.92;189.04
69.95;189.07
71.33;190.45
72.72;191.84
72.76;191.88
74.21;193.19
75.66;194.50
75.70;194.54
77.22;195.78
78.74;197.02
78.78;197.06
80.36;198.22
81.93;199.39
81.98;199.43
83.61;200.51
85.24;201.60
85.30;201.63
86.98;202.64
88.66;203.64
88.73;203.68
90.45;204.60
92.18;205.52
92.25;205.56
94.02;206.39
95.79;207.23
95.87;207.26
97.68;208.01
99.49;208.75
99.57;208.79
101.42;209.45
103.26;210.10
103.35;210.13
105.22;210.70
107.10;211.26
107.19;211.29
109.09;211.76
110.99;212.23
111.09;212.26
113.01;212.64
114.93;213.02
115.04;213.04
116.97;213.32
118.91;213.61
119.02;213.62
120.97;213.81
122.92;214.00
123.03;214.01
124.99;214.10
126.94;214.20
127.06;214.20
129.02;214.19
130.98;214.19
131.10;214.19
133.06;214.09
135.01;213.99
135.14;213.99
137.09;213.79
139.04;213.59
139.17;213.58
141.11;213.29
143.04;213.00
